"","t_1","t_2","t_3","t_4","y_2","y_3","y_4","se_2","se_3","se_4","V","na"
"1",1,5,NA,NA,1.6,NA,NA,1.78017669950276,NA,NA,1.38137165088957,2
"2",1,8,NA,NA,-0.199999999999999,NA,NA,0.36580840541694,NA,NA,0.0757894736842105,2
"3",2,3,NA,NA,2.7,NA,NA,0.488940180390199,NA,NA,0.1378125,2
"4",1,4,NA,NA,-2.2,NA,NA,1.25542301895486,NA,NA,0.695652173913044,2
"5",2,3,NA,NA,0,NA,NA,1.06066017177982,NA,NA,0.5625,2
"6",2,3,NA,NA,2.7,NA,NA,0.555150008070098,NA,NA,0.154285714285714,2
"7",1,7,NA,NA,-2,NA,NA,0.441189175903975,NA,NA,0.0391926317597492,2
"8",1,2,NA,NA,-0.5,NA,NA,0.970562384389248,NA,NA,0.457142857142857,2
"9",4,9,NA,NA,0.0999999999999996,NA,NA,0.807757814748198,NA,NA,0.188072678020419,2
"10",1,5,NA,NA,2.5,NA,NA,1.01107503543146,NA,NA,0.465454545454546,2
"11",2,3,NA,NA,2.6,NA,NA,0.921954445707919,NA,NA,0.489999999875221,2
"12",1,10,NA,NA,-1.3,NA,NA,0.850881895447306,NA,NA,0.4,2
"13",2,3,NA,NA,2.6125,NA,NA,0.439282084650475,NA,NA,0.145468749941739,2
"14",1,4,NA,NA,2,NA,NA,1.30611864291315,NA,NA,0.989117512650389,2
"15",1,6,NA,NA,-2.6,NA,NA,0.550381685741813,NA,NA,0.15842,2
"16",1,4,NA,NA,-3.2,NA,NA,0.194924241632756,NA,NA,0.0162,2
"17",1,2,NA,NA,-3.6,NA,NA,0.380131556174964,NA,NA,0.07225,2
"18",5,11,12,NA,-2.4,-2.2,NA,0.793049670283984,0.848808688973075,NA,0.347142857142857,3
"19",1,4,7,NA,-4.7,-0.799999999999999,NA,0.420823388540043,0.4584568095308,NA,0.0656410256410257,3
"20",2,3,6,NA,0.300000000000001,0.479999999999999,NA,0.584636639289739,0.703153610529022,NA,0.20402,3
"21",1,2,3,4,-3.2,-3,-1,1.21983017093898,1.11309202504067,0.785493475466219,0.361,4
